,OBJECTID,POPULATION,LANG_CODE,LON_X,LAT_Y
20691,20692,1068,1,64.5825,35.356
891,892,717,1,62.3373,34.9011
30145,30146,681,4,69.1751,37.0788
12479,12480,568,1,64.5997,34.8881
24189,24190,634,2,69.3291,33.676
42522,42523,529,1,68.8832,35.4728
28006,28007,2528,2,70.5445,34.251
2395,2396,1942,2,64.3566,31.4847
15020,15021,761,4,66.23100000000001,37.0886
36711,36712,878,1,69.2265,34.9614
1497,1498,1043,2,62.5589,32.7453
21132,21133,1111,2,66.8974,36.4522
29366,29367,1079,2,71.1595,34.7887
1822,1823,534,2,63.84072,32.88245
30149,30150,903,2,69.2127,37.0657
12986,12987,1152,1,66.03399999999999,33.4136
17375,17376,808,1,65.1242,33.512
38614,38615,727,2,68.6985,34.3171
2607,2608,1203,1,64.5801,31.8052
20865,20866,508,1,65.8528,35.3237
5135,5136,502,2,64.1139,30.785
44073,44074,579,1,68.71965,36.19604
10092,10093,911,3,66.3571,37.0275
28269,28270,763,2,70.7006,34.1588
29349,29350,12077,2,71.1104,34.7918
34803,34804,984,4,68.5534,36.9051
29789,29790,940,7,71.3225,35.1437
30684,30685,1150,1,67.053,36.6895
35700,35701,803,1,70.4479,37.7537
24516,24517,1240,2,68.9664,33.4152
42544,42545,986,1,68.2253,35.3986
21403,21404,4312,2,66.87,36.6495
14938,14939,6654,4,65.7314,37.5248
1927,1928,2304,2,64.096,31.5156
34455,34456,866,2,68.3964,34.2326
39191,39192,1202,1,69.0517,34.7126
20665,20666,884,1,68.3937,33.5415
6845,6846,1029,1,62.8783,34.8375
26316,26317,598,1,67.1707,36.1971
27698,27699,544,2,70.2169,34.5184
37362,37363,1128,1,70.6657,36.5381
27970,27971,1452,2,70.7382,34.3321
40984,40985,888,1,69.2831,35.1496
15372,15373,533,1,67.3457,33.4078
3668,3669,539,1,67.3881,33.0629
7323,7324,967,2,65.8011,31.7783
2152,2153,595,2,62.861580000000004,32.242779999999996
21891,21892,1486,2,68.7606,33.1609
23542,23543,923,2,70.03399999999999,33.4241
17117,17118,805,1,64.4947,33.5402
43945,43946,543,1,69.5433,35.9299
44108,44109,1103,1,68.8216,36.2205
23373,23374,533,2,69.9758,33.3289
44768,44769,1086,3,64.6553,36.0649
4569,4570,504,2,64.4906,31.7564
5200,5201,1998,2,64.3482,31.4478
1498,1499,897,2,62.4694,32.6448
4687,4688,826,2,64.9276,32.3738
28640,28641,841,1,70.2512,34.6872
18456,18457,2959,1,68.6281,33.5215
28980,28981,1932,2,70.8482,34.6169
13925,13926,1005,2,66.4874,32.1555
1937,1938,2162,2,64.0769,31.5041
29140,29141,739,2,70.7541,34.8789
14666,14667,797,2,65.743,32.9783
12693,12694,669,1,66.1948,33.8173
21549,21550,791,1,66.4447,35.9602
37553,37554,653,2,69.2349,34.8754
23384,23385,3093,2,69.9765,33.3463
27458,27459,616,2,70.2992,34.2378
20425,20426,3492,3,65.2001,35.7057
34697,34698,1418,2,68.7756,37.2218
21293,21294,613,1,66.1078,36.0556
20337,20338,1002,3,64.8333,35.6255
29206,29207,711,2,70.9127,34.8935
3640,3641,1200,1,67.5535,33.1224
26742,26743,531,2,68.925,34.0933
40607,40608,1201,1,70.8365,36.8427
24378,24379,706,2,69.3414,33.3924
23468,23469,2722,2,70.0133,33.1716
1616,1617,835,2,62.9716,32.8451
29879,29880,2446,3,69.5081,37.3054
41733,41734,1817,1,69.7368,35.4274
44231,44232,1064,1,68.1294,35.7895
17488,17489,703,1,65.234,34.9906
30645,30646,1916,1,68.7855,37.1634
26053,26054,538,1,67.316,36.2071
36202,36203,522,1,68.7237,35.069
17633,17634,699,1,65.4428,34.931999999999995
41118,41119,7152,1,69.4736,35.266
14991,14992,588,4,66.0337,36.9784
42895,42896,797,1,62.5166,34.4896
6972,6973,1033,1,61.49,34.4194
